Arrêt Code Long;Arrêt;Commune;Pays;CodeDidoc;Coordonnées;Actif
LEMA01;Léman;ANNEMASSE;FR;8507185;46.181736, 6.238363;N
LEMA02;Léman;ANNEMASSE;FR;8507185;46.182865, 6.241408;N
LEMA03;Léman;ANNEMASSE;FR;8507185;46.182705, 6.241748;N
LEOF00;Léo Ferré;ANNEMASSE;FR;8595808;46.187569, 6.245696;N
LEOF01;Léo Ferré;ANNEMASSE;FR;8595808;46.187504, 6.245723;N
LERO03;Le Rolliet;PLAN-LES-OUATES;CH;8592984;46.172001, 6.110023;Y
LERO11;Le Rolliet;PLAN-LES-OUATES;CH;8592984;46.17141, 6.107965;Y
LESE01;Les Esserts;VILLE-LA-GRAND;FR;8595813;46.198601, 6.263877;N
LEVA00;Levant;ANNEMASSE;FR;8595901;46.196766, 6.240001;N
LEVA01;Levant;ANNEMASSE;FR;8595901;46.196247, 6.23908;N
LFRG00;La Forge;JUSSY;CH;8592963;46.232384, 6.250055;Y
LFRG01;La Forge;JUSSY;CH;8592963;46.232204, 6.249877;Y
LGLI00;Lycée des Glières;ANNEMASSE;FR;8595820;46.190472, 6.242704;N
LHCY00;Cessy-Les Hauts;CESSY;FR;1401679;46.325409, 6.064846;Y
LIRO01;Livron-De-Gaulle;ANNEMASSE;FR;8595818;46.186089, 6.247437;N
LMLD00;Les Maladières;SATIGNY;CH;8593096;46.223156, 6.059194;Y
LMLD01;Les Maladières;SATIGNY;CH;8593096;46.223259, 6.059062;Y
LNAL00;Louis Lachenal;AMBILLY;FR;1400027;46.190533, 6.224088;N
LNAN01;Les Nants;VETRAZ-MONTHOUX;FR;8595816;46.19099, 6.257668;N
LOBAS00;Lossy Bas;CRANVES-SALES;FR;;46.194118, 6.299557;N
LOCH03;En Louche;PERLY-CERTOUX;CH;8593047;46.158276, 6.097722;Y
LOEX01;Loëx-Hôpital;BERNEX;CH;8587903;46.044125, 6.146775;N
LOUR00;La Loure;JUSSY;CH;8592964;46.235321, 6.260597;Y
LOUR97;La Loure;JUSSY;CH;8592964;46.235893, 6.25882;N
LOUV00;Presinge, La Louvrière;PRESINGE;CH;;46.216652, 6.26668;N
LPAX02;La Paix;AMBILLY;FR;8595804;46.196819, 6.219815;N
LQUI01;Les Quibières;VEYRIER;CH;8593203;46.173084, 6.182375;Y
LRAP00;La Rape;VETRAZ-MONTHOUX;FR;8595806;46.182541, 6.272073;N
LRDU00;Louis-Rendu;MEYRIN;CH;8595458;46.235958, 6.077178;N
LRDU01;Louis-Rendu;MEYRIN;CH;8595458;46.236004, 6.077461;N
LROC00;Livron commerces;ANNEMASSE;FR;;;N
LUBAS00;Lucinges Bas;LUCINGES;FR;;46.185528, 6.312288;N
LUCH00;Bernex-Luchepelet;BERNEX;CH;8508130;46.178288, 6.072737;Y
LUCH02;Bernex-Luchepelet;BERNEX;CH;8508130;46.177849, 6.073008;Y
LULI00;Lullier;JUSSY;CH;8507428;46.227699, 6.255511;Y
LULI01;Lullier;JUSSY;CH;8507428;46.227455, 6.256398;Y
LULY03;Lully-Croisée;BERNEX;CH;8587076;46.164207, 6.072715;N
LULY05;Lully-Croisée;BERNEX;CH;8587076;46.163013, 6.071527;Y
LUME00;Les Mévaux;JUSSY;CH;8507422;46.229988, 6.265482;Y
LUME01;Les Mévaux;JUSSY;CH;8507422;46.229908, 6.265548;Y
LUPL00;Lullier-Plantais;JUSSY;CH;8507426;46.229923, 6.259689;Y
LVRO00;Livron;VETRAZ-MONTHOUX;FR;8595794;46.186287, 6.251371;N
LVRO01;Livron;VETRAZ-MONTHOUX;FR;8595794;46.186516, 6.251379;N
LYIN00;Ferney-Lycée;FERNEY-VOLTAIRE;FR;1401739;46.26305, 6.115363;Y
LYIN01;Ferney-Lycée;FERNEY-VOLTAIRE;FR;1401739;46.264099, 6.114897;Y
LYON01;Lyon;GENÈVE;CH;8592850;46.210152, 6.137888;Y
LYON03;Lyon;GENÈVE;CH;8592850;46.20919, 6.138728;N
LYUN00;Louis-Yung;VERSOIX;CH;;46.289265, 6.158789;N
MABL01;Maison Blanche;ETREMBIÈRES;FR;8595824;46.18005, 6.228906;N
MACH02;Machéry;LE GRAND-SACONNEX;CH;8592946;46.243496, 6.129065;Y
MACH99;Machéry;LE GRAND-SACONNEX;CH;8592946;46.244064, 6.128962;N
MACN00;Malval-Centre Nature;DARDAGNY;CH;8595951;46.216286, 5.996158;Y
MACU01;Neydens-Macumba;NEYDENS;FR;;46.124199, 6.09353;N
MAGE01;Maison-Rouge;SATIGNY;CH;8593097;46.206009, 6.0189;N
MAIL00;Maillard;MEYRIN;CH;8595026;46.228504, 6.065217;N
MAIP01;Mairie Parc;LE GRAND-SACONNEX;CH;;46.233665, 6.125389;N
MAIX00;Maisonnex;MEYRIN;CH;8593018;46.232243, 6.060015;Y
MALA00;Malagnou;CHÊNE-BOUGERIES;CH;8587056;46.192871, 6.176271;Y
MALV01;Malval-Hameau;DARDAGNY;CH;8592771;46.209965, 5.987319;N
MANC01;Mancy;COLLONGE-BELLERIVE;CH;8592736;46.242893, 6.202666;Y
MANU03;Manufactures;PLAN-LES-OUATES;CH;8595036;46.165089, 6.104766;N
MAOR01;Mandarin Oriental;GENÈVE;CH;;46.205776, 6.141748;N
MAPA01;Maison de la Paix;GENÈVE;CH;8592825;46.220001, 6.145792;Y
MARC00;Marclay;COLLONGE-BELLERIVE;CH;8595053;46.233135, 6.20198;N
MARR00;Vernier, Marriott;VERNIER;CH;8510968;46.220387, 6.104073;N
MART00;Martinet;GAILLARD;FR;8595827;46.182732, 6.201311;N
MASS00;Massettes;LE GRAND-SACONNEX;CH;8592948;46.223606, 6.11382;Y
MATE01;Maternité-Pédiatrie;GENÈVE;CH;8592853;46.191315, 6.146032;Y
MATG01;Mategnin;MEYRIN;CH;8594946;46.240841, 6.088271;Y
MCON00;Maconnex-Arcades;ORNEX;FR;1402569;46.285492, 6.085722;Y
MCON01;Maconnex-Arcades;ORNEX;FR;1402569;46.284939, 6.085671;Y
MDRZ01;Moulins-de-Drize;PLAN-LES-OUATES;CH;8593062;46.167789, 6.140582;Y
MDRZ04;Moulins-de-Drize;PLAN-LES-OUATES;CH;8593062;46.167572, 6.139693;Y
MDRZ98;Moulins-de-Drize;PLAN-LES-OUATES;CH;;46.166836, 6.140133;N
MEES00;Meinier-Essert;MEINIER;CH;8595673;46.244991, 6.223469;Y
MEGL00;Meinier-Eglise;MEINIER;CH;8593001;46.246552, 6.233835;Y
MERV02;Mervelet;GENÈVE;CH;8592855;46.219841, 6.123111;N
MERV03;Mervelet;GENÈVE;CH;8592855;46.219616, 6.123837;N
METR01;Métropole;GENÈVE;CH;8592856;46.203362, 6.150826;Y
METR02;Métropole;GENÈVE;CH;8592856;46.20332, 6.151704;N
METR99;Métropole;GENÈVE;CH;8592856;46.203026, 6.15311;N
MFER01;Machefer;VERSOIX;CH;8503046;46.275547, 6.140073;N
MFER02;Machefer;VERSOIX;CH;8503046;46.275547, 6.139663;N
MGNE00;Montagne;CHÊNE-BOUGERIES;CH;8592697;46.20467, 6.199425;Y
MGNE01;Montagne;CHÊNE-BOUGERIES;CH;8592697;46.205368, 6.200058;Y
MGNE99;Montagne;CHÊNE-BOUGERIES;CH;8592697;46.204288, 6.199044;N
MGOE00;Meyrin,Golette;MEYRIN;CH;8511625;46.229931, 6.078703;N
MGOE01;Meyrin,Golette;MEYRIN;CH;8511625;46.229782, 6.078686;N
MICA00;Mica;PUPLINGE;CH;;46.044125, 6.146775;N
MIDE00;Mon-Idée;THÔNEX;CH;8593119;46.20369, 6.221993;Y
MIDE01;Mon-Idée;PUPLINGE;CH;8593119;46.20409, 6.223358;Y
MIES98;Mies-Gare;VAUD;CH;8596097;46.303688, 6.169867;N
MIESST;Mies Stationnement;VAUD;CH;8596097;46.297291, 6.168488;N
MILT00;Millet;AMBILLY;FR;8595366;46.191483, 6.216825;N
MINE98;Mines;GENÈVE;CH;8592859;46.223431, 6.147347;N
MIRE01;Miremont;GENÈVE;CH;8592860;46.189186, 6.15598;Y
MIRE99;Miremont;GENÈVE;CH;8592860;46.189674, 6.155813;N
MLPT01;Malpertuis;BERNEX;CH;8592659;46.182041, 6.064678;Y
MLRD01;Molard;GENÈVE;CH;8592862;46.204124, 6.14854;Y
MLVT00;Saint-Genis-Porte de France;SAINT-GENIS-POUILLY;FR;1402572;46.240929, 6.029141;Y
MLVT01;Saint-Genis-Porte de France;SAINT-GENIS-POUILLY;FR;1402572;46.241074, 6.02845;Y
MNEU03;Maisons-Neuves;CORSIER;CH;8592763;46.262123, 6.231025;Y
MNEU96;Maisons-Neuves;CORSIER;CH;8592763;46.261524, 6.230469;N
MNEU99;Maisons-Neuves;CORSIER;CH;8592763;46.261673, 6.229959;N
MO_A1;;GENÈVE;CH;;;N
MO_D2;;GENÈVE;CH;;;N
MO_E1;;GENÈVE;CH;;;N
MO_E2;;GENÈVE;CH;;;N
MOEL00;Moillesulaz;GAILLARD;FR;8595829;46.191746, 6.207842;N
MOIL01;Moillesulaz;THÔNEX;CH;8593118;46.192486, 6.206582;Y
MOIL03;Moillesulaz;THÔNEX;CH;8593118;46.192818, 6.20668;N
MOIL91;Moillesulaz-Douane (CH);THÔNEX;CH;8593118;46.19257, 6.206491;N
MOIL96;Moillesulaz;THÔNEX;CH;8593118;46.192383, 6.204884;N
MOLE01;Môle;GENÈVE;CH;8592863;46.213139, 6.145281;Y
MOLI00;Chemin des Mollies;GENTHOD;CH;;46.044125, 6.146775;N
MOLL01;Mollaz;LACONNEX;CH;8592972;46.15435, 6.033877;Y
MOLL03;Mollaz;LACONNEX;CH;8592972;46.153545, 6.033082;N
MOLN00;Molands;;CH;;;N
MOLN01;Molands;;CH;;;N
MONB01;Mont-Rond;ANNEMASSE;FR;8595994;46.197037, 6.257097;N
MONE03;Lycée J. Monnet;ANNEMASSE;FR;8595821;46.182613, 6.245783;N
MONE98;Lycée J. Monnet;ANNEMASSE;FR;8595821;46.182327, 6.24623;N
MONE99;Lycée J. Monnet;ANNEMASSE;FR;8595821;46.182232, 6.246165;N
MONT01;Annemasse-Parc Montessuit;ANNEMASSE;FR;1400021;46.194279, 6.231014;Y
MONT03;Annemasse-Parc Montessuit;ANNEMASSE;FR;1400021;46.194237, 6.231312;N
MORA01;Moulin-de-la-Ratte;AIRE-LA-VILLE;CH;8595556;46.188396, 6.04585;N
MORL99;Grand-Saconnex, Crêts-Morillon;LE GRAND-SACONNEX;CH;8592940;46.230152, 6.130236;N
MOTT00;Ch de la Motte;MEINIER;CH;;46.044125, 6.146775;N
MPAR99;Maison des Parlements;LE GRAND-SACONNEX;CH;8592852;46.226635, 6.12177;N
MRAV00;Maurice-Ravel;VERSOIX;CH;;46.282524, 6.154405;N
MRCH01;Marché;CAROUGE;CH;8592677;46.184383, 6.140394;N
MRCH97;Carouge-Marché;CAROUGE;CH;8592677;46.182762, 6.137807;N
MRES00;Moulières;SATIGNY;CH;8593098;46.216927, 6.061388;Y
MRGI01;Morgines;LANCY;CH;8592987;46.187641, 6.111469;N
MRIC00;Moulin-de-Richelien;COLLEX-BOSSY;CH;8595675;46.280861, 6.13734;Y
MRIC01;Moulin-de-Richelien;COLLEX-BOSSY;CH;8595675;46.281017, 6.138011;Y
MRIC98;Moulin-de-Richelien;COLLEX-BOSSY;CH;8595675;46.276043, 6.131878;N
MRLG00;Merlinge;MEINIER;CH;8593002;46.248627, 6.247172;Y
MRMO00;Marmousets;FERNEY-VOLTAIRE;FR;8593221;46.259094, 6.106885;N
MRNE00;Moraines;CAROUGE;CH;8592678;46.18251, 6.143742;Y
MRNE01;Moraines;CAROUGE;CH;8592678;46.044125, 6.146775;N
MRNE98;Moraines;CAROUGE;CH;8592678;46.182343, 6.144958;N
MRNE99;Moraines;CAROUGE;CH;8592678;46.181885, 6.144495;Y
MSIL00;Marsillon;VEYRIER;CH;8593204;46.167484, 6.154846;Y
MSIL01;Marsillon;VEYRIER;CH;8593204;46.167709, 6.155048;Y
MSIL98;Marsillon;VEYRIER;CH;8593204;46.167023, 6.154806;N
MSIL99;Marsillon;VEYRIER;CH;8593204;46.167183, 6.154969;N
MSNT00;Maisonnette;BERNEX;CH;8592658;46.163223, 6.048759;Y
MSQU01;Montesquiou;ONEX;CH;8593039;46.181183, 6.105732;Y
MTBL98;Mont-Blanc;GENÈVE;CH;8592864;46.208015, 6.149011;N
MTCH01;Montchoisy;GENÈVE;CH;8592865;46.203072, 6.166446;N
MTER00;Maison du Terroir;BERNEX;CH;8595014;46.165997, 6.076128;Y
MTFL99;Montfleury;VERSOIX;CH;8593188;46.291676, 6.165615;N
MTNR00;Martinière;AMBILLY;FR;8595828;46.199337, 6.224371;N
MTOU00;Meinier-Tour;MEINIER;CH;8587077;46.245781, 6.23153;Y
MTOU01;Meinier-Tour;MEINIER;CH;8587077;46.245819, 6.231465;Y
MUSE02;Muséum;GENÈVE;CH;8592870;46.198406, 6.158316;Y
MUVO00;Musée Voltaire;GENÈVE;CH;8592869;46.206985, 6.133609;Y
MUVO01;Musée Voltaire;GENÈVE;CH;8592869;46.207348, 6.134159;Y
MVER00;Moulin-de-Vert;CARTIGNY;CH;8592687;46.175117, 6.021997;N
MVLT00;Meinier, Vy-la-Tour;MEINIER;CH;;46.237194, 6.228664;N
MYCT00;Meyrin, Citadelle;MEYRIN;CH;8511624;46.234966, 6.096779;Y
MYCT01;Meyrin, Citadelle;MEYRIN;CH;8511624;46.235313, 6.096416;N
MYRN00;Meyrin-Village;MEYRIN;CH;8593026;46.228931, 6.071805;Y
MYRN05;Meyrin-Village;MEYRIN;CH;8593026;46.228477, 6.071037;N
MYST00;Meyrin, Stierlin;MEYRIN;CH;8511627;46.238129, 6.092629;Y
NADA01;Nant-d'Avril;SATIGNY;CH;8504812;46.225552, 6.056787;Y
NAIS01;Nant-d'Aisy;ANIÈRES;CH;8592764;46.27071, 6.218939;Y
NAMA00;Nant-Malet;PLAN-LES-OUATES;CH;8593063;46.165539, 6.122508;Y
NATI04;Nations;GENÈVE;CH;8587058;46.222366, 6.138439;N
NATI10;Nations;GENÈVE;CH;8587058;46.222, 6.1392;Y
NATI12;Nations;GENÈVE;CH;8587058;46.22274, 6.139713;Y
NATI14;Nations;GENÈVE;CH;8587058;46.222389, 6.138957;Y
NATI16;Nations;GENÈVE;CH;8587058;46.22163, 6.139312;N
NATI20;Nations;GENÈVE;CH;8587058;46.222675, 6.138186;Y
NATI97;Nations;GENÈVE;CH;8587058;46.220928, 6.141643;Y
NATI98;Nations;GENÈVE;CH;8587058;46.221909, 6.139321;N
NATI99;Nations;GENÈVE;CH;8587058;46.221973, 6.139195;N
NAVI00;Navigation;GENÈVE;CH;8592871;46.211964, 6.149625;Y
NDAM03;Gare Cornavin;GENÈVE;CH;8587057;46.209328, 6.142307;N
NDAM84;Gare Cornavin Notre Dame;GENÈVE;CH;8587057;46.209332, 6.142284;N
NDAM85;Gare Cornavin Notre Dame;GENÈVE;CH;8587057;46.20929, 6.142342;N
NEGO00;Négociants;AMBILLY;FR;8596018;46.196976, 6.22879;N
NHAI00;NH-Airport;MEYRIN;CH;;46.227779, 6.086171;N
NOIR00;Noirettes;RUSSIN;CH;8593090;46.193241, 6.016616;N
NOIR01;Noirettes;RUSSIN;CH;8593090;46.192421, 6.015899;N
NRTE00;Rue des Noirettes;CAROUGE;CH;8592681;46.187786, 6.131867;N
NUIS00;Nussance;CRANVES-SALES;FR;8595904;46.185299, 6.293101;N
NYCL00;Neydens-Chef Lieu;NEYDENS;FR;;46.120464, 6.104862;N
NYLF00;Neydens-La Forge;NEYDENS;FR;;46.11837, 6.110083;N
NYLM00;Neydens-Les Mouilles;NEYDENS;FR;1400943;46.116169, 6.0971;N
OBGE00;Observatoire de Genève;VERSOIX;CH;8595668;46.303745, 6.13243;Y
OELO00;Onex-Evaux-Loisirs;ONEX;CH;8510217;46.189297, 6.091554;N
OMSST;OMS (Stationnement);GENÈVE;CH;8587904;46.233543, 6.13414;N
ONBC01;Onex-Bois Carrien;ONEX;CH;8593032;46.191166, 6.100863;Y
ONCI01;Onex-Cité;ONEX;CH;8593030;46.19062, 6.098722;Y
ONDA00;Parking Honda;SATIGNY;CH;;46.222076, 6.06324;N
ONEX00;Onex-Salle communale;ONEX;CH;8587080;46.183327, 6.099851;Y
ONEX01;Onex-Salle communale;ONEX;CH;8587080;46.18359, 6.100492;Y
ONEX99;Onex-Salle communale;ONEX;CH;8587080;46.183277, 6.099687;N
OPHT01;Ophtalmologie;GENÈVE;CH;8592872;46.190834, 6.14893;N
OPHT02;Ophtalmologie;GENÈVE;CH;8592872;46.190701, 6.148836;N
OPHT99;Ophtalmologie;GENÈVE;CH;8592872;46.190723, 6.148927;N
ORMA01;Ormeaux;GENÈVE;CH;8592873;46.206005, 6.136341;Y
ORSA00;Collonge-Pré d'Orsat;COLLONGE-BELLERIVE;CH;;46.255592, 6.208773;N
OUCH01;Les Ouches;GENÈVE;CH;8595020;46.209763, 6.118653;Y
OXFR01;Ornex-Fruitière;ORNEX;FR;1401767;46.272476, 6.096075;Y
P47;Service P47;LE GRAND-SACONNEX;CH;;46.242161, 6.121718;N
P49-00;Fret;LE GRAND-SACONNEX;CH;8505466;46.239845, 6.119168;N
PAAN00;Prévessin-Parc des Anneaux;PRÉVESSIN-MOËNS;FR;1401781;46.248577, 6.08664;Y
PAAN99;Prévessin-Parc des Anneaux;PRÉVESSIN-MOËNS;FR;1401781;46.493847, 6.136055;N
PACON01;Paconinges;JUVIGNY;FR;;46.221416, 6.294259;N
PALE00;Palettes;LANCY;CH;8592988;46.176662, 6.122032;N
PALE01;Palettes;LANCY;CH;8592988;46.176792, 6.12199;Y
PALE95;Palettes;LANCY;CH;8592988;46.176434, 6.119881;N
PALE98;Palettes;LANCY;CH;8592988;46.175022, 6.122642;N
PALL01;Dr Palluel;SAINT-JULIEN-EN-GENEVOIS;FR;1401796;46.143074, 6.07714;N
PAME00;PAE de la Menoge;BONNE;FR;8595831;46.170578, 6.316395;N
PARC01;Parc et plage des Eaux-Vives;GENÈVE;CH;8592876;46.209221, 6.167197;Y
PASS01;La Passe;CARTIGNY;CH;8592686;46.169868, 6.021655;Y
PAVI98;Aviateurs;PLAN-LES-OUATES;CH;8593064;46.170166, 6.121101;N
PAVI99;Aviateurs;PLAN-LES-OUATES;CH;8593064;46.170067, 6.121323;N
PBOC00;Pont-Bochet;THÔNEX;CH;8593109;46.209843, 6.216647;Y
PBOC99;Pont-Bochet;THÔNEX;CH;8593109;46.210079, 6.21713;N
PBOU00;Pré-Bouvier;SATIGNY;CH;8595041;46.222393, 6.054586;Y
PBOU01;Pré-Bouvier;SATIGNY;CH;8595041;46.222282, 6.054317;Y
PBRU02;Ferney-Planche-Brûlée;FERNEY-VOLTAIRE;FR;1401740;46.254986, 6.09923;N
PCEA98;Pont-Céard-Gare;VERSOIX;CH;8593189;46.28793, 6.165859;N
PDDC00;Puplinge, Douane de Cornière;PUPLINGE;CH;;46.204712, 6.239211;N
PDLIST;Palladium Stationnement;GENÈVE;CH;8592874;46.203377, 6.138674;N
PECG00;Pas de l'Échelle-Gare;ETREMBIÈRES;FR;8595833;46.159863, 6.181809;N
PEDI00;Pédiatrie;GENÈVE;CH;8503332;46.189816, 6.148736;Y
PEDO01;Perly-Douane;PERLY-CERTOUX;CH;8593046;46.152397, 6.091069;Y
PEDO02;Perly-Douane;SAINT-JULIEN-EN-GENEVOIS;FR;8593046;46.150913, 6.089174;N
PEIL01;Peillonnex;CHÊNE-BOURG;CH;8592709;46.194118, 6.195973;Y
PEIL98;Peillonnex;CHÊNE-BOURG;CH;8592709;;N
PEIL99;Peillonnex;CHÊNE-BOURG;CH;8592709;46.194099, 6.194455;N
PELO01;La Pelotière;VERSOIX;CH;8593187;46.274403, 6.164299;Y
PENT01;Penthes;PREGNY-CHAMBÉSY;CH;8593078;46.232376, 6.138745;Y
PENT99;Penthes;PREGNY-CHAMBÉSY;CH;8593078;46.232529, 6.138883;N
PEPA00;Genève, Conservatoire populaire;GENÈVE;CH;8592879;46.197685, 6.151763;Y
PERI00;Perrier;ANNEMASSE;FR;8595835;46.184437, 6.243797;N
PERI03;Perrier;ANNEMASSE;FR;8595835;46.185478, 6.241817;N
PERI97;Perrier;ANNEMASSE;FR;8595835;46.184425, 6.24377;N
PESC02;Peschier;GENÈVE;CH;8592878;46.194397, 6.15473;N
PETR01;Petray;COLLONGE-BELLERIVE;CH;8592737;46.245548, 6.206652;Y
PEUP01;Peupliers;JUSSY;CH;8592967;46.238632, 6.280246;Y
PEVD00;Petite-Vendée;LANCY;CH;;46.189762, 6.120601;N
PEVI00;Perly-Village;PERLY-CERTOUX;CH;8587081;46.156277, 6.092385;Y
PEVI01;Perly-Village;PERLY-CERTOUX;CH;8587081;46.155117, 6.094368;N
PEVI02;Perly-Village;PERLY-CERTOUX;CH;8587081;46.154919, 6.094011;N
PEVI04;Perly-Village;PERLY-CERTOUX;CH;8587081;46.154438, 6.096068;N
PFIL01;Pont de Fillinges;FILLINGES;FR;1400025;46.162884, 6.35253;N
PFLE01;Pré-Fleuri;PLAN-LES-OUATES;CH;8593065;46.166214, 6.107212;Y
PFLE97;Pré-Fleuri;PLAN-LES-OUATES;CH;8593065;46.16798, 6.105673;N
PFON02;Pré-de-la-Fontaine;SATIGNY;CH;8593099;46.224258, 6.057482;N
PFUM00;Vernier-Parfumerie;VERNIER;CH;8593166;46.205326, 6.076141;Y
PGET00;Pré-Longet;ONEX;CH;8593040;46.185127, 6.103693;N
PGRA02;Petite-Grave;CARTIGNY;CH;8587072;46.1731, 6.041929;N
PHIL00;Philosophes;GENÈVE;CH;8592881;46.196732, 6.146163;Y
PIBO00;Pierre à Bochet;THÔNEX;CH;8593120;46.19791, 6.21098;Y
PIBO01;Pierre à Bochet;THÔNEX;CH;8593120;46.198017, 6.210628;Y
PICO01;Picolettes;CRANVES-SALES;FR;8595837;46.190323, 6.290456;N
PICY00;Lancy-Piscine;LANCY;CH;8592991;46.179184, 6.121531;Y
PICY01;Lancy-Piscine;LANCY;CH;8592991;46.179531, 6.121457;Y
PICY99;Lancy-Piscine;LANCY;CH;8592991;46.179596, 6.119967;N
PINC01;Pinchat-la-Tour;VEYRIER;CH;8593208;46.175789, 6.152565;Y
PINCST;Pinchat (Stationnement);CAROUGE;CH;;46.183044, 6.152709;N
PITH00;Pictet-Thellusson;CAROUGE;CH;8592842;46.188908, 6.130816;Y
PJAR01;Pré-Jardinier;PLAN-LES-OUATES;CH;8595037;46.162926, 6.125639;Y
PJAR02;Pré-Jardinier;PLAN-LES-OUATES;CH;8595037;46.163311, 6.127741;Y
PLAI01;La Plaine-Gare;DARDAGNY;CH;8587073;46.1786, 5.999499;Y
PLDI00;Palladium;GENÈVE;CH;8592874;46.202969, 6.13311;Y
PLDO01;La Plaine-Douane;DARDAGNY;CH;8594947;46.1777, 5.991688;Y
PLEV00;Place des Eaux-Vives;GENÈVE;CH;8592883;46.202549, 6.155432;Y
PLEV04;Place des Eaux-Vives;GENÈVE;CH;8592883;46.201805, 6.156875;Y
PLEV99;Place des Eaux-Vives;GENÈVE;CH;8592883;46.204052, 6.15611;N
PLGE00;Genève-Plage;GENÈVE;CH;8587059;46.211597, 6.172351;Y
PLGE01;Genève-Plage;GENÈVE;CH;8587059;46.211594, 6.172092;Y
PLGE02;Genève-Plage;GENÈVE;CH;8587059;46.211609, 6.173025;N
PLGE03;Genève-Plage;GENÈVE;CH;8587059;46.211418, 6.171902;Y
PLGE99;Genève-Plage;GENÈVE;CH;8587059;46.211586, 6.172429;N
PLGR00;Place de -Grenus;GENÈVE;CH;;46.20702, 6.142945;N
PLLT00;Pallanterie;COLLONGE-BELLERIVE;CH;8587071;46.247978, 6.216595;Y
PLLT01;Pallanterie;COLLONGE-BELLERIVE;CH;8587071;46.247967, 6.216297;Y
PLLT03;Pallanterie;COLLONGE-BELLERIVE;CH;8587071;46.24659, 6.215497;Y
PLLT05;Pallanterie;COLLONGE-BELLERIVE;CH;8587071;46.044125, 6.146775;N
PLLY00;Pouilly;SAINT-GENIS-POUILLY;FR;;46.253128, 6.034662;N
PLMA00;Place des Marchés;ANNEMASSE;FR;8595840;46.191906, 6.236325;N
PLNT00;Planet;BELLEVUE;CH;8592648;46.258358, 6.127553;Y
PLNT01;Planet;BELLEVUE;CH;8592648;46.258083, 6.127508;Y
PLO;Locaux SAEIV;;CH;;46.493847, 6.136055;N
PLOU01;Plan-les-Ouates-Mairie;PLAN-LES-OUATES;CH;8587083;46.168545, 6.118123;Y
PLPA00;Plainpalais;GENÈVE;CH;8587907;46.198063, 6.143022;N
PLPA05;Plainpalais;GENÈVE;CH;8587907;46.198437, 6.142754;N
PLPA07;Plainpalais;GENÈVE;CH;8587907;46.198349, 6.141953;Y
PLPA96;Plainpalais;GENÈVE;CH;8587907;46.198524, 6.143059;Y
PLPA99;Plainpalais;GENÈVE;CH;8587907;46.198368, 6.143676;Y
PLTA00;Planta;VANDOEUVRES;CH;8593136;46.214214, 6.190603;Y
PLTA01;Planta;VANDOEUVRES;CH;8593136;46.214241, 6.190447;Y
PLTZ00;La Plantaz;JUVIGNY;FR;8595805;46.213116, 6.297674;N
PLUL00;Pont-de-Lully;BERNEX;CH;8592661;46.163525, 6.075412;Y
PMAR02;Puplinge, Pré-Marquis;PUPLINGE;CH;8593087;46.21452, 6.233679;N
PMAR03;Puplinge, Pré-Marquis;PUPLINGE;CH;8593087;46.214874, 6.234255;N
PMAR98;Puplinge, Pré-Marquis;PUPLINGE;CH;8593087;46.214359, 6.233717;N
PMARST;Puplinge, Pré-Marquis Stationnement;PUPLINGE;CH;8593087;46.213261, 6.234447;N
PMEF00;Pierre Mendès-France;ANNEMASSE;FR;8595838;46.187176, 6.222829;N
PMEF01;Pierre Mendès-France;ANNEMASSE;FR;8595838;46.187439, 6.223172;N
PMIO01;Petit-Miolan;CHOULEX;CH;8592718;46.220402, 6.218069;Y
PNEF00;Place de Neuve (fictif);GENÈVE;CH;8592885;46.201443, 6.144173;Y
PNEV00;Place de Neuve;GENÈVE;CH;8592885;46.201035, 6.144584;Y
PNEV01;Place de Neuve;GENÈVE;CH;8592885;46.201279, 6.144228;Y
PNEV98;Place de Neuve;GENÈVE;CH;8592885;46.199913, 6.142996;N
PNTI;Parking Nations;GENÈVE;CH;;46.222324, 6.138971;N
PNTI00;Genève, Parking Nations;GENÈVE;CH;8505480;46.221874, 6.139395;N
PNTI01;Parking Nations;GENÈVE;CH;8505480;46.222786, 6.139436;N
POAT00;Poizat;CHALLEX;FR;1401650;46.18158, 5.97564;Y
POAT01;Poizat;CHALLEX;FR;1401650;46.181133, 5.974564;Y
POCH01;Port Choiseul;VERSOIX;CH;8593190;46.288486, 6.165682;Y
POLT00;Thoiry-Place en Poulet;THOIRY;FR;1401808;46.24749, 5.989366;Y
POLT01;Thoiry-Place en Poulet;THOIRY;FR;1401808;46.247482, 5.989664;Y
POMI01;Le Pommier;LE GRAND-SACONNEX;CH;8592945;46.230347, 6.125064;Y
POMI99;Le Pommier;LE GRAND-SACONNEX;CH;8592945;46.493847, 6.136055;N
PONT02;Pontets;LANCY;CH;8592992;46.172977, 6.123286;Y
POST99;Poste;GENÈVE;CH;8592888;46.212341, 6.141168;N
POTE00;Poterie;GENÈVE;CH;8592889;46.211624, 6.133822;Y
POTE01;Poterie;GENÈVE;CH;8592889;46.212093, 6.133267;Y
POTI02;Pottière;VILLE-LA-GRAND;FR;8595992;46.201664, 6.258357;N
POUS00;Peney-Dessous;SATIGNY;CH;8587388;46.200928, 6.0436;Y
PPAL00;Prés-Palais;CORSIER;CH;8592765;46.266872, 6.216754;Y
PPIN00;Plateau de Pinchat;VEYRIER;CH;8587036;46.171803, 6.142338;Y
